
—— fold 1/5 —————————————————————
[eval 05840]  loss = -3.245319
[eval 05850]  loss = -1.430557
[eval 05860]  loss = -6.145600
[eval 05870]  loss = 0.386764
[eval 05880]  loss = -2.712125
[eval 05890]  loss = 1.835050
[eval 05900]  loss = -3.934143
[eval 05910]  loss = 2.808134
[eval 05920]  loss = -6.285741
[eval 05930]  loss = -1.988734
[eval 05940]  loss = 2.296114
[eval 05950]  loss = -4.842124
[eval 05960]  loss = 1.901949
[eval 05970]  loss = -1.670542
[eval 05980]  loss = 0.247642
[eval 05990]  loss = 1.577548
[eval 06000]  loss = 1.464228
[eval 06010]  loss = -6.330394
[eval 06020]  loss = 0.389040
[eval 06030]  loss = -5.527617
[eval 06040]  loss = -5.896511
[eval 06050]  loss = -2.286012
[eval 06060]  loss = -3.880361
[eval 06070]  loss = -5.118104
[eval 06080]  loss = -2.744198
[eval 06090]  loss = 1.109654
[eval 06100]  loss = -6.298266
[eval 06110]  loss = -0.371301
[eval 06120]  loss = -5.675165
[eval 06130]  loss = -6.149918
[eval 06140]  loss = 3.123677
[eval 06150]  loss = -2.706365
[eval 06160]  loss = -1.069729
[eval 06170]  loss = -6.310930
[eval 06180]  loss = 1.928895
[eval 06190]  loss = -6.434173
[eval 06200]  loss = -3.392606
[eval 06210]  loss = -4.335264
[eval 06220]  loss = -4.939218
[eval 06230]  loss = -0.128576
[eval 06240]  loss = -2.334822
[eval 06250]  loss = 0.973420
[eval 06260]  loss = 2.446806
[eval 06270]  loss = 2.475538
[eval 06280]  loss = -6.374845
[eval 06290]  loss = 2.891086
[eval 06300]  loss = -5.860478
[eval 06310]  loss = -5.807386
[eval 06320]  loss = 1.081772
[eval 06330]  loss = -5.324455
[eval 06340]  loss = -3.546598
[eval 06350]  loss = 0.098099
[eval 06360]  loss = 1.781488
[eval 06370]  loss = -6.267434
[eval 06380]  loss = 1.611451
[eval 06390]  loss = -5.950182
[eval 06400]  loss = -4.679133
[eval 06410]  loss = -0.172749
[eval 06420]  loss = -2.098724
[eval 06430]  loss = 0.040500
[eval 06440]  loss = -4.899940
[eval 06450]  loss = 0.729561
[eval 06460]  loss = -6.377600
[eval 06470]  loss = -1.373513
[eval 06480]  loss = -6.331354
[eval 06490]  loss = -6.427281
[eval 06500]  loss = 2.176661
[eval 06510]  loss = -5.510567
[eval 06520]  loss = -3.095299
[eval 06530]  loss = -5.516928
[eval 06540]  loss = -0.230475
[eval 06550]  loss = -6.387694
[eval 06560]  loss = -2.761380
[eval 06570]  loss = 5.631637
[eval 06580]  loss = -6.391660
[eval 06590]  loss = -0.174614
[eval 06600]  loss = -1.209550
[eval 06610]  loss = 3.014052
[eval 06620]  loss = 2.185607
[eval 06630]  loss = -0.100549
[eval 06640]  loss = -6.275591
[eval 06650]  loss = -1.879709
[eval 06660]  loss = -0.630976
[eval 06670]  loss = -5.411510
[eval 06680]  loss = 2.630570
[eval 06690]  loss = -5.371870
[eval 06700]  loss = 1.323924
[eval 06710]  loss = -6.387898
[eval 06720]  loss = -2.821445
[eval 06730]  loss = -6.385784
[eval 06740]  loss = -0.570925
[eval 06750]  loss = -4.585590
[eval 06760]  loss = -4.962442
[eval 06770]  loss = 1.167808
[eval 06780]  loss = -4.940296
[eval 06790]  loss = 2.835789
[eval 06800]  loss = 0.037127
[eval 06810]  loss = -2.582031
[eval 06820]  loss = -6.358879
[eval 06830]  loss = 3.271352
[eval 06840]  loss = 4.073817
[eval 06850]  loss = -5.914360
[eval 06860]  loss = -3.211570
[eval 06870]  loss = -6.284105
[eval 06880]  loss = -1.084627
[eval 06890]  loss = -6.083995
[eval 06900]  loss = 0.879004
[eval 06910]  loss = -6.367880
[eval 06920]  loss = 3.755991
[eval 06930]  loss = 1.014990
[eval 06940]  loss = -5.297769
[eval 06950]  loss = -1.340055
[eval 06960]  loss = -5.893198
[eval 06970]  loss = 1.307878
[eval 06980]  loss = -1.448581
[eval 06990]  loss = 1.081306
[eval 07000]  loss = -6.398036
[eval 07010]  loss = 0.774536
[eval 07020]  loss = 1.757307
[eval 07030]  loss = -5.564792
[eval 07040]  loss = -2.310711
[eval 07050]  loss = -5.927444
[eval 07060]  loss = 1.447494
[eval 07070]  loss = 1.676410
[eval 07080]  loss = 1.661099
[eval 07090]  loss = -6.387043
[eval 07100]  loss = 1.989572
[eval 07110]  loss = -5.833338
[eval 07120]  loss = -5.150117
[eval 07130]  loss = 0.992056
[eval 07140]  loss = -4.178088
[eval 07150]  loss = 0.818356
[eval 07160]  loss = -0.141043
[eval 07170]  loss = 1.122709
[eval 07180]  loss = -6.454339
[eval 07190]  loss = -1.281961
[eval 07200]  loss = 4.204259
[eval 07210]  loss = -4.736205
[eval 07220]  loss = -1.423414
[eval 07230]  loss = -5.952042
[eval 07240]  loss = 0.986253
[eval 07250]  loss = -3.939578
[eval 07260]  loss = -1.395545
[eval 07270]  loss = -6.348267
[eval 07280]  loss = 2.837894
[eval 07290]  loss = -5.707154
[eval 07300]  loss = -4.686155
[eval 07310]  loss = -0.969006
[eval 07320]  loss = -6.335895
[eval 07330]  loss = 0.529220
[eval 07340]  loss = -5.094587
[eval 07350]  loss = 2.620262
[eval 07360]  loss = -6.327910
[eval 07370]  loss = -3.891266
[eval 07380]  loss = -6.174166
[eval 07390]  loss = -4.832924
[eval 07400]  loss = 0.581566
[eval 07410]  loss = -6.135010
[eval 07420]  loss = 4.267537
[eval 07430]  loss = -6.145423
[eval 07440]  loss = 0.715086
[eval 07450]  loss = -6.340437
[eval 07460]  loss = 2.891812
[eval 07470]  loss = -5.607726
[eval 07480]  loss = -5.346286
[eval 07490]  loss = -2.110771
[eval 07500]  loss = -5.633629
[eval 07510]  loss = -3.098741
[eval 07520]  loss = 1.298506
[eval 07530]  loss = -0.510762
[eval 07540]  loss = -6.421157
[eval 07550]  loss = -1.842492
[eval 07560]  loss = 5.476420
[eval 07570]  loss = -4.702262
[eval 07580]  loss = -1.478684
[eval 07590]  loss = -1.298048
[eval 07600]  loss = 0.987732
[eval 07610]  loss = -6.308149
[eval 07620]  loss = 2.963037
[eval 07630]  loss = -6.307543
[eval 07640]  loss = 1.653713
[eval 07650]  loss = -6.318980
[eval 07660]  loss = -4.886029
[eval 07670]  loss = -2.322725
[eval 07680]  loss = -1.252861
[eval 07690]  loss = 4.344060
[eval 07700]  loss = 0.457700
[eval 07710]  loss = -1.386956
[eval 07720]  loss = -6.320752
[eval 07730]  loss = 0.228855
[eval 07740]  loss = -1.211902
[eval 07750]  loss = -5.404253
[eval 07760]  loss = -0.705038
[eval 07770]  loss = -2.474718
[eval 07780]  loss = 4.348886
[eval 07790]  loss = 2.063099
[eval 07800]  loss = 5.461797
[eval 07810]  loss = -6.287828
[eval 07820]  loss = 3.700908
[eval 07830]  loss = -5.467563
[eval 07840]  loss = -6.402377
[eval 07850]  loss = 2.952687
[eval 07860]  loss = -6.280710
[eval 07870]  loss = 2.274086
[eval 07880]  loss = -5.792998
[eval 07890]  loss = 2.025424
[eval 07900]  loss = -6.354737
[eval 07910]  loss = 1.120116
[eval 07920]  loss = -6.075358
[eval 07930]  loss = -5.781193
[eval 07940]  loss = 1.530953
[eval 07950]  loss = -1.253618
[eval 07960]  loss = -2.805468
[eval 07970]  loss = -0.955626
[eval 07980]  loss = 1.236305
[eval 07990]  loss = -6.362843
[eval 08000]  loss = -1.689223
[eval 08010]  loss = -4.771138
[eval 08020]  loss = -6.266298
[eval 08030]  loss = 1.037686
[eval 08040]  loss = -2.555475
[eval 08050]  loss = 5.183823
[eval 08060]  loss = -5.329838
[eval 08070]  loss = -2.065815
[eval 08080]  loss = -6.401747
[eval 08090]  loss = -3.067792
[eval 08100]  loss = -0.861334
[eval 08110]  loss = -6.331236
[eval 08120]  loss = 1.964538
[eval 08130]  loss = -3.777430
[eval 08140]  loss = 3.417445
[eval 08150]  loss = 2.108132
[eval 08160]  loss = -1.039757
[eval 08170]  loss = -6.310912
